-START-OF-DATA-	
2018.5	0.000407155
2019.5	0.000409395
2020.5	0.00041164
2021.5	0.000413891
2022.5	0.000416164
2023.5	0.000418475
2024.5	0.000420827
2025.5	0.000423223
2026.5	0.000425657
2027.5	0.000428119
2028.5	0.000430606
2029.5	0.000433113
2030.5	0.000435639
2031.5	0.000438176
2032.5	0.000440712
2033.5	0.000443249
2034.5	0.000445799
2035.5	0.000448368
2036.5	0.000450959
2037.5	0.000453572
2038.5	0.000456194
2039.5	0.000458819
2040.5	0.000461445
2041.5	0.000464067
2042.5	0.000466668
2043.5	0.00046924
2044.5	0.000471794
2045.5	0.000474342
2046.5	0.000476893
2047.5	0.000479447
2048.5	0.000482004
2049.5	0.000484554
2050.5	0.000487088
2051.5	0.000489592
2052.5	0.000492038
2053.5	0.000494405
2054.5	0.000496689
2055.5	0.000498899
2056.5	0.000501054
2057.5	0.000503162
2058.5	0.000505227
2059.5	0.000507247
2060.5	0.000509212
2061.5	0.00051111
2062.5	0.000512925
2063.5	0.000514649
2064.5	0.000516278
2065.5	0.00051781
2066.5	0.000519256
2067.5	0.00052063
2068.5	0.000521942
2069.5	0.000523195
2070.5	0.000524385
2071.5	0.000525503
2072.5	0.000526524
2073.5	0.000527438
2074.5	0.000528242
2075.5	0.000528934
2076.5	0.000529512
2077.5	0.000529986
2078.5	0.000530371
2079.5	0.000530679
2080.5	0.000530913
2081.5	0.000531102
2082.5	0.000531298
2083.5	0.000531523
2084.5	0.000531774
2085.5	0.000532047
2086.5	0.000532335
2087.5	0.000532628
2088.5	0.000532935
2089.5	0.00053327
2090.5	0.000533639
2091.5	0.000534043
2092.5	0.000534478
2093.5	0.000534936
2094.5	0.000535407
2095.5	0.000535887
2096.5	0.000536372
2097.5	0.000536854
2098.5	0.000537332
2099.5	0.000537814
2100.5	0.000538314
2101.5	0.000538826
2102.5	0.000539332
2103.5	0.000539817
2104.5	0.000540269
2105.5	0.000540683
2106.5	0.000541054
2107.5	0.00054138
2108.5	0.00054166
2109.5	0.00054189
2110.5	0.000542075
2111.5	0.000542235
2112.5	0.000542388
2113.5	0.000542544
2114.5	0.000542698
2115.5	0.000542839
2116.5	0.000542957
2117.5	0.000543048
2118.5	0.000543111
2119.5	0.000543142
2120.5	0.000543135
2121.5	0.000543106
2122.5	0.000543078
2123.5	0.000543065
2124.5	0.000543071
2125.5	0.000543092
2126.5	0.00054312
2127.5	0.000543144
2128.5	0.000543159
2129.5	0.000543162
2130.5	0.000543148
2131.5	0.000543115
2132.5	0.000543072
2133.5	0.000543034
2134.5	0.000543011
2135.5	0.000543007
2136.5	0.000543019
2137.5	0.000543035
2138.5	0.000543048
2139.5	0.000543053
2140.5	0.000543047
2141.5	0.000543025
2142.5	0.000542982
2143.5	0.000542928
2144.5	0.000542875
2145.5	0.000542834
2146.5	0.000542808
2147.5	0.000542795
2148.5	0.000542786
2149.5	0.000542778
2150.5	0.000542774
2151.5	0.000542775
2152.5	0.000542776
2153.5	0.000542776
2154.5	0.000542778
2155.5	0.00054278
2156.5	0.000542781
2157.5	0.00054278
2158.5	0.000542781
2159.5	0.000542782
2160.5	0.000542782
2161.5	0.000542783
2162.5	0.000542785
2163.5	0.000542785
2164.5	0.000542786
2165.5	0.000542788
2166.5	0.000542788
2167.5	0.000542788
2168.5	0.00054279
2169.5	0.000542789
2170.5	0.000542789
2171.5	0.00054279
2172.5	0.000542791
2173.5	0.000542793
2174.5	0.000542792
2175.5	0.000542792
2176.5	0.000542793
2177.5	0.000542794
2178.5	0.000542795
2179.5	0.000542796
2180.5	0.000542798
2181.5	0.000542797
2182.5	0.000542797
2183.5	0.000542797
2184.5	0.000542797
2185.5	0.000542797
2186.5	0.000542798
2187.5	0.000542798
2188.5	0.000542799
2189.5	0.0005428
2190.5	0.0005428
2191.5	0.000542801
2192.5	0.000542801
2193.5	0.000542802
2194.5	0.000542802
2195.5	0.000542803
2196.5	0.000542803
2197.5	0.000542803
2198.5	0.000542803
2199.5	0.000542803
2200.5	0.000542802
2201.5	0.000542802
2202.5	0.000542801
2203.5	0.000542803
2204.5	0.000542804
2205.5	0.000542805
2206.5	0.000542805
2207.5	0.000542805
2208.5	0.000542805
2209.5	0.000542805
2210.5	0.000542806
2211.5	0.000542808
2212.5	0.000542809
2213.5	0.000542809
2214.5	0.000542809
2215.5	0.000542808
2216.5	0.000542807
2217.5	0.000542808
2218.5	0.000542809
2219.5	0.000542809
2220.5	0.000542808
2221.5	0.000542807
2222.5	0.000542808
2223.5	0.000542808
2224.5	0.00054281
2225.5	0.000542812
2226.5	0.000542813
2227.5	0.000542813
2228.5	0.000542812
2229.5	0.000542813
2230.5	0.000542813
2231.5	0.000542812
2232.5	0.000542812
2233.5	0.000542812
2234.5	0.000542811
2235.5	0.000542812
2236.5	0.000542812
2237.5	0.000542811
2238.5	0.000542812
2239.5	0.000542812
2240.5	0.000542812
2241.5	0.000542813
2242.5	0.000542813
2243.5	0.000542812
2244.5	0.000542813
2245.5	0.000542813
2246.5	0.000542812
2247.5	0.000542813
2248.5	0.000542813
2249.5	0.000542812
2250.5	0.000542813
2251.5	0.000542812
2252.5	0.000542811
2253.5	0.000542812
2254.5	0.000542814
2255.5	0.000542815
2256.5	0.000542815
2257.5	0.000542816
2258.5	0.000542817
2259.5	0.000542816
2260.5	0.000542818
2261.5	0.000542818
2262.5	0.000542817
2263.5	0.000542817
2264.5	0.000542817
2265.5	0.000542816
2266.5	0.000542816
2267.5	0.000542817
2268.5	0.000542818
2269.5	0.000542817
2270.5	0.000542818
2271.5	0.000542818
2272.5	0.000542816
2273.5	0.000542817
2274.5	0.000542818
2275.5	0.000542819
2276.5	0.000542818
2277.5	0.000542819
2278.5	0.000542821
2279.5	0.000542822
2280.5	0.000542822
2281.5	0.000542823
2282.5	0.000542823
2283.5	0.000542822
2284.5	0.000542822
2285.5	0.000542823
2286.5	0.000542824
2287.5	0.000542823
2288.5	0.000542823
2289.5	0.000542825
2290.5	0.000542826
2291.5	0.000542825
2292.5	0.000542826
2293.5	0.000542828
2294.5	0.000542828
2295.5	0.000542828
2296.5	0.000542829
2297.5	0.000542831
2298.5	0.000542831
2299.5	0.000542831
2300.5	0.000542831
2301.5	0.000542833
2302.5	0.000542834
2303.5	0.000542833
2304.5	0.000542834
2305.5	0.000542836
2306.5	0.000542836
2307.5	0.000542836
2308.5	0.000542836
2309.5	0.000542838
2310.5	0.000542838
2311.5	0.000542837
2312.5	0.000542837
2313.5	0.000542839
2314.5	0.000542839
2315.5	0.000542837
2316.5	0.000542837
2317.5	0.000542838
2318.5	0.000542838
2319.5	0.000542836
2320.5	0.000542836
2321.5	0.000542837
2322.5	0.000542838
2323.5	0.000542839
2324.5	0.000542838
2325.5	0.000542838
2326.5	0.000542839
2327.5	0.000542839
2328.5	0.000542837
2329.5	0.000542837
2330.5	0.000542838
2331.5	0.00054284
2332.5	0.00054284
2333.5	0.000542839
2334.5	0.000542839
2335.5	0.00054284
2336.5	0.000542842
